Name,Birth_Name,Birth_Date,Birthplace,Death_Date,Death_Place,Feast_Day,Virtues_Traits,Patron_Of,Martyr,Religious_Order,Major_Events,Notable_Contributions,Quotes
Saint Benedict of Nursia,Benedict of Nursia,0480-03-02,"Nursia, Italy",0547-03-21,"Monte Cassino, Italy",0547-07-11,Balance; Moderation; Reasonableness,Europe; Monks; Students,False,Benedictines,Founded twelve communities for monks at Subiaco; Established the monastery at Monte Cassino; Wrote the Rule of Saint Benedict,Founded Western Christian monasticism; Developed the Rule of Saint Benedict; Established a structured monastic lifestyle,Prefer nothing to the love of Christ
Saint Catherine of Siena,Caterina di Giacomo di Benincasa,1347-03-25,"Siena, Republic of Siena",1380-04-29,"Rome, Papal States",1380-04-29,Mysticism; Courage; Wisdom,Italy; Europe; Nurses; Fire prevention,False,Dominican Third Order,Mystical marriage to Christ; Received stigmata; Convinced Pope Gregory XI to return to Rome from Avignon,"Worked to bring the papacy back to Rome from Avignon; Helped establish peace among Italian city-states; Wrote ""The Dialogue"", a spiritual classic",Be who God meant you to be and you will set the world on fire.
Saint Joan of Arc,Jeanne d'Arc,1412-01-06,"Domrémy, Duchy of Bar, Kingdom of France",1431-05-30,"Rouen, Normandy",1431-05-30,Courage; Faith; Determination,France; Soldiers; Prisoners,True,Unknown,Led French army to victory at Orléans; Facilitated coronation of Charles VII; Captured by Burgundians and sold to English; Tried for heresy and executed,Turned tide of Hundred Years' War in favor of France; Inspired French troops and boosted morale; Became symbol of French nationalism,I am not afraid; I was born to do this.; In God's name! Let us go on bravely!
Saint Peter,Simon Bar Jonah,Unknown,"Bethsaida, Galilee",0064-06-29,"Rome, Roman Empire",0629-06-29,Faith; Leadership; Courage,Fishermen; Popes; Locksmiths,True,Unknown,Called by Jesus to be an Apostle; Witnessed the Transfiguration; Denied Jesus three times; Preached at Pentecost; Became leader of the early Church,First Pope of the Catholic Church; Spread Christianity to Gentiles; Wrote two epistles in the New Testament,"Lord, you know everything; you know that I love you."
Saint Paul the Apostle,Saul of Tarsus,0005-01-01,"Tarsus, Cilicia",0067-06-29,"Rome, Italy",0067-06-29,Zeal; Courage; Perseverance,Missionaries; Theologians; Gentile Christians,True,Unknown,Conversion on the road to Damascus; Three missionary journeys; Imprisonment in Rome,Wrote several epistles in the New Testament; Spread Christianity throughout the Roman Empire; Developed Christian theology,"For I am convinced that neither death nor life, neither angels nor demons, neither the present nor the future, nor any powers, neither height nor depth, nor anything else in all creation, will be able to separate us from the love of God that is in Christ Jesus our Lord."
Saint Ignatius of Loyola,Iñigo López de Oñaz y Loyola,1491-10-23,"Loyola, Gipuzkoa, Spain",1556-07-31,"Rome, Italy",0731-07-31,Obedience; Humility; Devotion,Spiritual Retreats; Soldiers; Jesuits,False,Society of Jesus (Jesuits),Founded the Society of Jesus in 1534; Wrote the Spiritual Exercises; Elected first Superior General of the Jesuits in 1541,Developed Ignatian spirituality; Established the Jesuit order; Contributed to the Counter-Reformation,For the greater glory of God; Go forth and set the world on fire
Saint Therese of Lisieux,Marie Françoise-Thérèse Martin,1873-01-02,"Alençon, France",1897-09-30,"Lisieux, France",1897-10-01,Simplicity; Humility; Love,Missionaries; Florists; Aviators; France,False,Discalced Carmelites,"Entered Carmel of Lisieux at age 15; Wrote autobiography ""Story of a Soul""; Declared Doctor of the Church in 1997","Developed the ""Little Way"" of spiritual childhood; Promoted a simple approach to holiness; Inspired millions through her autobiography","My vocation is love!; Miss no single opportunity of making some small sacrifice, here by a smiling look, there by a kindly word; always doing the smallest right and doing it all for love."
Saint Elizabeth Ann Seton,Elizabeth Ann Bayley,1774-08-28,"New York City, United States",1821-01-04,"Emmitsburg, Maryland, United States",1821-01-04,Charity; Devotion; Perseverance,Catholic Schools; Widows; Loss of Parents; Educators,False,Sisters of Charity of St. Joseph's,Conversion to Catholicism in 1805; Founded Sisters of Charity of St. Joseph's in 1809; Established St. Joseph's Academy and Free School in 1810,First native-born United States citizen to be canonized; Founded first American congregation of religious sisters; Established first free Catholic school in America,The gate of heaven is very low; only the humble can enter it.
Saint Vincent de Paul,Vincent de Paul,1581-04-24,"Pouy, Gascony, Kingdom of France",1660-09-27,"Paris, Kingdom of France",1660-09-27,Charity; Compassion; Humility,Charities; Hospitals; Prisoners; Volunteers,False,Congregation of the Mission,Ordained as a priest in 1600; Captured by Barbary pirates and sold into slavery in 1605; Founded the Congregation of the Mission in 1625; Established the Daughters of Charity in 1633,Established organizations to help the poor and marginalized; Reformed the training of priests; Pioneered social welfare programs,"We should strive to keep our hearts open to the sufferings and wretchedness of other people, and pray continually that God may grant us that spirit of compassion which is truly the spirit of God."
Saint Maximilian Kolbe,Rajmund Kolbe,1894-01-08,"Zduńska Wola, Russian Empire (now Poland)",1941-08-14,"Auschwitz concentration camp, Nazi-occupied Poland",1941-08-14,Self-sacrifice; Courage; Devotion to Mary,Drug addicts; Political prisoners; Families; Journalists; Pro-life movement,True,Conventual Franciscans,"Founded the Militia Immaculatae in 1917; Established Niepokalanów, a Franciscan monastery, in 1927; Volunteered to die in place of a stranger in Auschwitz in 1941",Promoted Marian devotion through publications and radio; Established missionary centers in Poland and Japan; Exemplified heroic charity by sacrificing his life for another prisoner,No one in the world can change Truth. What we can do and should do is to seek truth and to serve it when we have found it.
